taxa,stat,lower,median,upper,Nes,pA,n,name
noD,S_d,-2338.4122411125,-2094.50509275,-1825.6226545475,1000,0.0001,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,1000,0.0001,20,full_DFE
noD,alpha_div,0.50118455,0.5141074999999999,0.525149125,1000,0.0001,20,full_DFE
noD,product,0.0,0.0,0.0,1000,0.0001,20,full_DFE
withD,Sb_est,0.4635381661575,0.6948654524050001,1.3114079087387498,10,0.0001,20,dDFE
withD,pa_est,0.0015266084085,0.004539777555,0.00730910268825,10,0.0001,20,dDFE
withD,b,0.29552665325599997,0.30444871991,0.31996819136725,10,0.0001,20,dDFE
withD,S_d,-2194.2831933775,-1977.9821485,-1683.8906968625006,10,0.0001,20,dDFE
withD,alpha_dfe,0.0410805,0.078016,0.13296727499999994,10,0.0001,20,dDFE
withD,alpha_div,0.042311275,0.0795815,0.13445212499999995,10,0.0001,20,dDFE
withD,propSig,0.65,0.65,0.65,10,0.0001,20,dDFE
noD,Sb_est,0.41298668374725,1.515145163,2.836926634095,10,0.0001,20,dDFE
noD,pa_est,0.000150948347,0.00060335492,0.0019356149460000008,10,0.0001,20,dDFE
noD,b,0.291587769251,0.297323986285,0.3050416644455,10,0.0001,20,dDFE
noD,S_d,-2218.1046305825,-2033.00303515,-1820.17289502,10,0.0001,20,dDFE
noD,alpha_dfe,0.002201025,0.014491,0.06696885000000005,10,0.0001,20,dDFE
noD,alpha_div,0.018702075,0.0384725,0.063150025,10,0.0001,20,dDFE
noD,propSig,0.09183673469387756,0.09183673469387756,0.09183673469387756,10,0.0001,20,dDFE
withD,Sb_est,0.0,0.0,0.0,1000,0.01,20,full_DFE
withD,pa_est,0.0,0.0,0.0,1000,0.01,20,full_DFE
withD,b,0.01000001718725,0.01000003467,0.010000077292,1000,0.01,20,full_DFE
withD,S_d,-3.47945832381,-0.00857999115,-3.812988250000003e-05,1000,0.01,20,full_DFE
withD,alpha_dfe,0.0,0.0,0.0,1000,0.01,20,full_DFE
withD,alpha_div,0.8137711750000001,0.815335,0.8240918500000001,1000,0.01,20,full_DFE
withD,product,0.0,0.0,0.0,1000,0.01,20,full_DFE
noD,Sb_est,0.0,0.0,0.0,1000,0.01,20,full_DFE
noD,pa_est,0.0,0.0,0.0,1000,0.01,20,full_DFE
noD,b,0.0346948488765,0.036616881985,0.037934223113500004,1000,0.01,20,full_DFE
noD,S_d,-99988.11882615,-99576.4832075,-96335.68982595,1000,0.01,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,1000,0.01,20,full_DFE
noD,alpha_div,0.886989325,0.8897120000000001,0.89183075,1000,0.01,20,full_DFE
noD,product,0.0,0.0,0.0,1000,0.01,20,full_DFE
withD,Sb_est,1.4213427386179998,2.631525305865,13.126718700847487,100,0.0001,20,dDFE
withD,pa_est,0.00091293036525,0.005809224275,0.01178633032625,100,0.0001,20,dDFE
